DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4,nota-ej-5,nota-ej-6,nota-ej-7,nota-ej-8,nota-ej-9,nota-ej-10,nota-ej-11,nota-ej-12,nota-ej-13,nota-ej-14,nota-ej-15
29495308,b,b,b,m,b,m,r,r,r,m,r,r,r,m,m
44706700,m,m,r,m,r,m,m,r,m,m,b,r,b,b,r
40445463,r,b,b,r,b,b,b,m,b,b,m,m,r,m,r
46460963,m,m,r,r,m,b,m,b,m,r,b,b,r,m,b
25395532,b,r,b,m,r,b,r,m,r,m,b,m,m,m,r
37499995,m,b,m,b,b,b,b,r,m,m,m,r,b,r,m
22967733,r,b,m,m,r,m,r,m,b,b,r,r,r,m,m
44125949,r,r,m,m,m,r,r,r,r,b,b,m,b,m,m
46118949,r,r,b,b,r,m,b,b,m,b,b,b,r,r,m
36068721,b,r,m,r,r,r,b,r,m,m,r,b,m,b,b
30501200,r,b,m,b,b,m,r,r,b,r,b,m,m,m,r
29684710,b,b,m,b,m,m,r,r,b,b,r,m,m,m,b
21608032,r,m,r,r,b,b,m,r,r,b,b,b,b,m,r
23152083,r,r,b,b,b,r,r,m,b,m,r,r,r,r,m
29809287,m,r,r,m,r,r,m,r,r,m,r,m,b,r,r
40030356,b,r,b,r,b,r,b,r,m,r,r,b,b,r,r
33093313,m,r,r,m,m,b,b,b,r,r,m,m,b,r,r
34535743,b,r,r,m,b,m,r,r,m,r,b,m,b,m,r
32420891,m,m,b,b,r,m,b,m,b,b,m,b,m,b,m
47234124,m,m,b,m,r,r,b,b,m,m,b,m,m,m,m
32318449,r,b,b,b,m,b,m,m,m,b,r,b,b,b,b
31932897,r,r,b,m,r,b,m,b,m,m,r,b,m,b,b
25546689,m,m,b,b,r,r,m,m,r,r,r,b,r,m,b
42255397,r,b,b,m,r,m,m,r,m,m,b,m,r,b,r
34145379,r,r,r,m,b,r,r,m,m,b,r,m,b,b,m
26039728,r,r,b,m,b,m,m,m,m,b,m,r,r,r,m
30127562,b,m,b,m,b,b,r,r,b,m,b,r,m,b,b
31524063,m,r,m,b,b,b,r,b,m,b,m,b,b,r,b
49753306,r,r,r,r,m,r,m,r,r,m,r,m,r,r,m
43119182,r,b,r,r,r,r,b,b,r,r,b,m,m,m,m
37795657,b,r,b,r,b,r,r,r,b,r,b,m,b,r,b
45888314,m,r,m,m,m,b,r,b,m,m,r,b,r,b,r
20288917,m,r,b,m,r,m,r,m,m,r,b,b,m,m,m
21254965,b,r,r,m,m,r,b,b,r,m,m,m,m,r,m
26462065,m,r,r,r,r,b,b,b,m,r,m,m,m,b,m
39364578,m,r,b,m,b,m,m,m,m,b,m,b,b,r,r
48333159,m,b,r,b,r,b,r,r,r,b,m,m,r,b,m
21339310,m,r,b,r,m,b,m,m,b,r,m,r,m,r,b
36570658,b,m,m,r,m,b,b,b,b,m,b,b,m,b,r
23574509,m,b,m,r,r,b,r,m,r,b,m,r,m,b,b
21636864,b,m,m,m,r,b,m,m,b,m,r,b,m,r,m
28569044,b,m,b,r,b,b,r,b,r,b,r,m,r,r,b
33628717,m,m,b,r,b,m,m,r,m,m,r,m,b,m,r
29911910,b,b,r,m,r,m,m,r,r,b,b,m,m,m,r
22422682,r,r,r,b,b,m,b,m,b,b,m,b,b,m,r
