DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4,nota-ej-5,nota-ej-6,nota-ej-7,nota-ej-8,nota-ej-9,nota-ej-10,nota-ej-11,nota-ej-12,nota-ej-13,nota-ej-14
33303019,r,r,m,b,r,r,m,m,b,r,b,r,m,m
32960612,b,m,b,m,m,r,m,m,r,b,m,b,r,m
36445219,m,b,m,m,m,r,m,m,m,m,r,m,m,r
31156967,m,m,b,r,r,b,m,b,m,b,m,r,m,m
29642943,m,m,m,r,b,m,r,m,m,r,m,r,r,r
49874869,r,m,m,m,r,r,b,b,r,b,m,r,b,r
37950461,m,m,r,b,b,m,m,m,b,r,r,m,b,m
42967618,m,b,r,m,b,r,b,b,r,r,r,r,r,r
33093313,r,b,r,r,b,m,r,r,m,b,r,b,b,m
34530675,r,b,r,b,r,b,r,m,m,b,r,r,r,m
25288728,r,b,m,r,r,r,m,b,m,r,r,r,r,b
42993295,r,m,r,r,r,r,m,b,b,m,m,m,b,m
38362603,m,m,m,b,r,r,b,b,m,b,m,r,b,m
46118949,r,b,b,m,r,m,m,r,m,r,m,r,m,b
43119182,r,b,b,m,r,b,b,r,r,m,m,b,m,m
30128318,m,m,r,r,b,b,m,b,b,m,b,r,r,r
22967733,r,m,b,r,m,r,m,b,r,b,m,m,r,b
32303426,m,b,m,b,m,b,r,m,b,r,r,r,r,m
40946003,b,b,r,r,b,r,b,b,b,b,r,r,r,m
29911910,b,r,m,r,b,r,b,r,b,r,r,m,m,m
21339310,r,r,b,r,r,r,m,m,b,b,r,b,r,r
40560158,r,m,m,r,r,m,r,m,m,m,r,r,m,b
42193790,m,b,r,r,m,r,b,r,r,m,m,b,b,r
48333159,b,b,m,r,r,m,r,b,r,m,m,b,b,b
27210540,b,b,r,m,m,m,r,m,m,r,r,m,m,b
48559272,r,r,b,b,r,b,b,b,r,r,r,b,b,r
34886516,b,b,m,m,m,b,b,r,b,r,r,m,b,m
32724513,r,m,b,b,b,r,m,b,b,m,m,r,b,r
44511759,m,m,b,b,b,m,r,b,r,m,r,m,b,b
36570658,m,b,m,r,r,m,b,m,r,b,b,r,m,b
23984891,r,m,r,r,r,m,m,r,r,r,r,m,r,b
45842048,r,b,m,r,b,r,b,b,m,r,m,m,r,r
31614463,r,r,r,r,r,m,m,b,m,b,m,b,b,r
30127562,m,m,m,m,b,r,r,b,m,b,m,b,m,m
23515060,r,b,m,m,b,m,m,r,b,b,b,b,m,r
39552156,r,r,r,m,r,m,r,m,b,m,r,r,r,r
25758234,m,m,b,r,r,r,m,r,b,m,r,r,m,r
45888314,r,b,b,m,b,b,b,r,b,r,m,b,r,m
27923614,b,r,m,b,r,r,r,r,b,r,m,r,b,r
37125793,r,m,m,r,b,m,b,m,m,r,m,r,r,b
44304845,m,b,b,b,b,b,b,r,b,b,b,b,m,m
45862559,b,r,b,b,b,r,m,b,r,r,b,m,r,b
36868608,b,m,r,b,b,r,r,r,r,b,r,m,b,r
24134290,b,m,r,b,r,m,r,b,r,m,m,b,r,b
40030356,m,m,b,m,r,b,m,r,r,m,r,m,m,r
41221044,r,m,m,b,m,b,r,m,m,r,m,m,r,r
46304327,r,b,r,m,m,m,r,b,r,m,b,r,r,m
35288529,r,m,r,m,b,r,m,r,m,m,b,b,m,r
26462065,m,b,r,b,r,r,r,m,m,b,b,m,m,m
42255397,b,r,m,m,b,b,r,m,b,m,b,r,m,m
46168970,m,m,m,b,b,b,b,b,r,b,b,r,r,m
23064759,r,r,m,b,m,b,m,r,b,b,b,r,r,m
31364255,b,m,m,b,m,m,r,r,m,b,m,r,r,b
35465532,r,m,b,m,b,b,b,m,m,b,m,r,r,b
41027501,r,r,r,b,b,r,m,r,m,m,b,b,b,r
38415649,m,r,b,b,b,m,m,r,b,b,b,b,m,b
32338402,m,b,m,m,b,r,m,m,r,r,m,b,b,r
47234124,m,b,b,m,m,r,m,m,m,r,r,b,b,b
31311646,r,b,m,m,b,m,m,b,m,m,r,m,r,m
35604742,b,b,b,b,b,b,m,r,m,b,m,m,m,b
49111875,r,b,b,r,r,b,b,r,r,m,m,m,r,m
39448030,b,m,m,m,r,r,m,r,m,b,b,m,r,m
41436051,m,b,b,r,b,m,r,r,m,r,r,m,m,b
25461203,b,b,m,m,b,r,r,b,r,r,b,r,b,m
22582153,r,r,m,m,m,r,r,m,b,b,b,m,r,b
20288917,r,r,b,b,m,r,b,r,r,r,r,b,m,r
26567973,b,r,r,m,r,r,r,r,r,r,m,m,r,r
49423669,m,r,m,r,m,r,b,b,b,b,b,b,r,r
30169992,b,m,r,b,m,r,b,r,m,m,r,r,b,r
23152083,b,b,b,b,b,b,m,b,m,b,b,b,m,r
21598129,b,r,b,r,r,b,b,r,b,b,m,b,b,m
23885914,r,m,m,r,b,m,b,m,r,b,b,r,b,r
29720947,b,r,m,m,b,r,m,m,b,m,b,r,b,m
27086148,b,b,m,r,m,b,b,m,m,m,m,b,r,r
34145379,b,b,b,b,m,m,m,b,m,m,m,r,r,b
27435532,r,m,r,r,b,b,b,m,b,b,r,r,m,b
38251991,m,r,b,m,b,b,r,b,r,r,r,b,b,m
38438609,m,b,m,m,r,m,b,m,m,m,b,b,b,r
