DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4,nota-ej-5,nota-ej-6,nota-ej-7,nota-ej-8,nota-ej-9,nota-ej-10,nota-ej-11,nota-ej-12,nota-ej-13
29202433,m,r,m,r,r,b,r,r,r,m,m,b,r
22088502,m,b,m,r,r,m,r,r,b,b,m,m,b
31524063,r,b,b,b,m,b,b,r,r,r,b,r,b
41380312,r,b,m,m,r,r,m,b,m,b,m,m,r
21608032,m,m,r,m,r,b,m,r,r,b,b,r,r
22422682,r,m,r,m,b,b,b,r,r,m,r,r,r
27086148,r,b,m,b,b,m,b,m,b,m,m,m,r
22582153,r,r,m,b,b,b,m,b,m,b,r,r,r
31364255,r,m,r,b,m,b,b,b,m,b,b,r,m
22812962,r,r,m,r,m,r,b,r,b,b,m,m,b
23379060,m,r,r,m,b,r,r,b,m,b,m,r,r
21598129,m,b,m,r,m,r,r,b,b,m,r,r,b
42993295,b,r,b,b,b,r,b,r,r,r,r,m,b
30265560,r,b,m,m,m,b,m,b,b,b,m,r,m
46304327,b,m,r,b,b,b,m,m,r,m,m,r,m
34669679,r,b,b,b,m,m,r,r,m,r,r,m,r
46118949,m,b,r,b,r,r,r,b,b,r,m,m,m
42255397,r,r,r,b,b,m,r,b,m,r,m,b,r
48333159,b,m,m,b,b,m,m,m,m,m,b,b,b
49220319,r,m,b,m,b,m,r,m,b,m,b,m,b
25756154,b,r,b,r,b,r,r,b,r,b,m,r,r
28261690,m,b,m,m,b,b,b,b,r,m,r,m,m
31614463,m,b,b,r,b,m,r,r,b,r,b,b,b
33741977,m,r,b,m,r,b,m,b,b,r,r,m,r
26047552,b,b,r,b,b,b,r,m,r,m,r,m,r
31932897,b,r,b,b,r,b,m,r,r,r,r,m,r
27210540,b,m,r,b,m,b,b,b,b,b,b,m,m
36445219,r,m,m,b,m,r,b,b,m,b,b,b,b
44304845,b,m,b,r,b,r,b,r,b,b,r,b,m
32303426,b,b,b,m,b,r,b,r,r,m,m,m,b
26753073,m,m,m,m,b,r,m,b,b,r,r,r,m
20699736,r,r,r,r,b,m,m,m,r,r,m,m,m
23574509,m,b,m,r,m,m,r,r,m,r,m,r,m
40030356,b,b,r,m,r,r,b,r,r,m,r,r,r
48559272,r,b,b,r,b,m,m,r,m,b,b,m,m
26567973,b,r,r,b,b,r,r,b,b,b,b,b,b
45907442,r,r,r,m,m,r,b,b,m,r,r,m,r
39116245,m,r,m,m,r,b,m,m,r,b,m,r,m
22480612,b,r,m,r,b,r,b,b,b,b,b,r,r
21354090,m,b,m,b,b,b,b,r,m,m,r,r,b
28514666,m,r,m,r,b,m,m,r,m,r,m,r,r
49446604,b,m,b,m,r,b,r,b,m,m,b,b,m
27435532,m,r,b,b,m,b,r,r,b,r,r,r,b
33628717,b,b,r,m,b,r,m,r,r,m,b,m,b
22956761,b,m,m,m,b,r,b,m,r,b,m,b,b
35217455,m,r,r,b,m,b,r,r,b,m,b,b,b
29809287,m,m,r,r,m,r,b,r,m,b,r,b,r
41765809,r,r,m,b,r,r,m,m,b,m,r,r,r
44920336,r,m,r,m,r,r,r,b,b,r,b,m,b
29911910,b,b,r,r,m,m,m,b,m,b,m,m,b
24134290,b,r,r,m,b,r,r,m,m,r,m,r,b
45975132,r,b,b,r,b,m,b,r,b,r,b,b,m
32318449,m,m,b,m,b,b,m,m,m,m,r,b,m
43641336,m,r,m,r,b,m,m,m,r,b,r,r,r
21636864,b,m,m,r,m,r,m,b,b,b,m,b,m
37860493,b,m,b,m,r,b,m,m,b,r,b,m,m
46168970,m,m,b,b,r,m,b,r,m,r,r,m,r
37499995,r,r,b,b,r,r,m,b,m,r,m,b,m
43360187,m,m,m,m,m,r,r,b,r,r,b,m,b
44706700,r,b,m,b,m,r,m,b,r,b,b,r,r
29495308,b,r,b,r,r,m,m,b,m,r,b,r,r
21254965,r,b,b,r,b,m,b,b,r,b,m,m,r
