DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4,nota-ej-5,nota-ej-6,nota-ej-7
44920336,r,b,r,b,m,b,r
45975132,b,b,m,r,r,b,b
22582153,m,m,b,m,m,m,r
24134290,b,r,r,r,b,b,r
38796488,m,b,m,m,m,b,r
42993295,r,b,m,m,r,m,m
29720947,r,b,m,r,m,b,m
34145379,r,b,b,m,r,m,b
22257215,b,r,m,b,b,r,m
26567973,r,b,b,r,b,b,m
39884038,m,b,r,b,m,b,m
32318449,b,m,r,m,m,r,m
29911910,r,m,r,b,r,m,r
37125793,m,b,r,r,m,b,b
40030356,m,m,m,b,r,r,m
47234124,m,r,m,m,m,r,m
21354090,b,b,r,b,m,m,r
42193790,m,m,b,b,r,r,b
22480612,b,r,r,r,r,r,b
23515060,r,r,b,m,b,m,b
30265560,m,b,m,m,r,r,b
41373820,b,m,b,b,m,r,b
30128318,m,b,r,r,b,b,m
49111875,b,m,r,r,r,r,m
48559272,r,b,m,m,b,r,r
31614463,r,r,m,b,m,r,b
49220319,r,b,r,m,b,b,m
34241447,b,r,b,m,b,b,r
26039728,m,r,r,m,b,b,r
37260850,b,b,b,r,m,b,m
40192936,b,b,r,r,m,m,m
34774631,b,b,b,m,m,r,b
38389169,m,m,r,b,b,b,r
26047552,r,b,r,r,r,m,b
45842048,m,m,b,m,r,r,r
32303426,b,m,b,m,m,m,r
25756154,r,r,r,b,b,b,b
38115562,b,r,m,m,m,b,r
33303019,b,b,m,r,r,r,m
43360187,m,m,b,m,m,b,r
21469971,r,m,r,m,b,b,b
47597223,b,b,r,b,r,r,m
43761524,b,r,m,r,b,b,b
30845194,m,b,m,b,r,b,m
44706700,b,r,m,r,m,m,m
41765809,r,m,b,b,m,r,m
31156967,b,r,r,r,r,b,r
22644958,b,b,b,b,r,r,r
20699736,m,m,b,b,r,m,r
24837924,m,r,b,m,m,b,m
32724513,b,r,m,b,r,r,m
38438609,m,m,b,m,m,b,r
46460963,r,b,b,m,b,b,r
44304845,r,r,b,b,r,b,b
35465532,r,m,m,b,b,b,m
29202433,m,m,r,r,r,r,r
31364255,m,r,b,m,r,b,m
27086148,m,m,m,b,b,b,b
30853285,b,r,m,r,m,b,m
35217455,r,m,m,b,b,b,r
42255397,m,r,r,m,b,b,r
41436051,m,b,m,r,r,b,r
38415649,r,m,r,b,m,r,r
35604742,r,m,r,b,r,b,m
31250238,r,m,r,m,b,r,b
30501200,r,b,r,r,r,m,m
42875897,r,m,r,r,r,m,r
40946003,m,r,b,b,m,b,r
32338402,m,m,r,m,b,r,r
37860493,r,b,m,m,m,r,r
39364578,m,m,r,m,b,b,m
28514666,r,m,m,m,r,m,r
45907442,m,m,r,r,m,b,m
