DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4,nota-ej-5,nota-ej-6,nota-ej-7,nota-ej-8,nota-ej-9,nota-ej-10
24705290,m,m,b,m,b,m,b,b,r,r
49833971,b,b,b,r,r,m,b,r,m,r
35604742,b,m,b,b,b,m,b,r,b,r
26545719,m,m,b,r,m,m,r,b,b,m
49753306,m,b,r,m,m,r,b,r,m,r
27210540,b,b,r,r,b,m,b,m,b,m
46454866,r,b,r,r,b,m,r,m,b,r
39364578,r,b,r,r,b,b,m,m,b,r
41221044,m,m,r,r,r,m,r,r,m,b
47597223,r,b,b,r,r,r,b,m,b,m
30638056,r,m,b,r,m,r,r,b,b,m
26206951,m,r,b,m,r,b,b,r,m,r
23515060,r,r,m,r,b,m,r,b,m,m
33303019,r,b,b,m,r,b,m,b,b,m
26567973,m,r,b,b,r,b,m,m,b,r
35217455,b,b,r,r,m,b,m,b,m,r
23574509,m,m,r,m,m,m,r,b,r,b
24134290,r,b,m,r,r,b,b,b,m,r
29642943,m,m,b,r,m,r,b,m,b,b
23064759,b,b,r,m,r,r,m,m,r,m
30169992,m,m,m,r,m,m,r,m,b,b
