DNI-Alumnonota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4,nota-ej-5,nota-ej-6,nota-ej-7,nota-ej-8,nota-ej-9,nota-ej-10,nota-ej-11,nota-ej-12,nota-ej-13,nota-ej-14
24858608,m,r,m,m,r,b,m,b,r,m,r,b,b,b
32487742,m,m,b,r,m,r,b,b,b,m,b,r,r,m
44209605,b,r,m,b,b,r,m,m,b,b,m,m,m,m
29085168,r,m,m,r,r,r,r,m,r,b,b,b,m,m
33679285,b,b,m,b,r,b,m,b,r,b,r,m,m,r
26528606,m,b,m,b,m,b,r,m,r,b,m,m,b,b
37437960,b,r,r,r,m,m,m,m,b,m,r,m,r,b
38440096,r,m,r,r,b,r,b,m,m,m,m,b,r,b
42942917,b,m,m,b,b,b,m,b,r,m,r,m,b,m
27595804,r,r,b,b,b,m,m,m,b,b,r,r,r,b
30407616,r,m,b,r,r,r,b,m,m,b,m,m,m,m
43461690,r,r,r,r,m,r,r,b,r,b,m,b,m,m
43721246,m,m,b,r,m,m,r,m,m,r,m,b,b,m
21758153,r,r,b,b,r,m,m,m,m,r,b,r,m,b
47168130,m,r,r,r,m,r,b,r,b,b,r,m,m,b
28278615,r,b,b,r,r,m,r,m,m,b,r,m,m,b
23689537,r,r,m,b,m,b,b,r,m,m,m,m,r,b
42902276,m,m,m,m,b,r,r,m,r,r,r,m,b,m
27690566,m,m,m,m,b,m,b,r,r,m,b,b,m,b
41170966,m,r,m,r,b,m,m,b,b,b,b,b,r,m
42650533,b,m,r,r,b,m,m,r,m,r,m,r,r,b
32673743,m,b,r,r,m,r,b,b,b,r,m,r,b,b
32083317,m,b,m,m,r,m,r,r,m,m,m,b,b,b
24479711,m,m,r,b,m,m,r,r,b,m,b,m,b,b
45216303,m,b,m,m,b,m,r,b,r,b,m,r,m,m
28413843,m,r,m,b,b,b,r,m,r,r,m,r,m,m
48879615,r,r,r,m,r,b,m,m,r,m,m,m,m,r
36831964,m,r,b,m,m,r,b,m,b,r,b,m,b,m
21356056,b,b,b,r,r,r,r,m,b,r,r,r,r,r
33306485,r,r,m,m,b,m,b,b,m,r,m,r,r,r
35676507,b,m,b,b,b,b,m,r,b,r,r,b,b,r
22411958,m,r,b,m,b,r,b,b,r,b,b,m,b,b
26394063,r,r,r,m,b,m,b,r,m,m,m,m,r,m
25647205,b,b,m,b,m,r,m,b,r,m,r,m,r,m
33504704,m,b,r,m,b,r,b,m,b,m,r,b,r,m
35601148,m,m,b,b,m,r,m,r,b,m,r,m,b,m
22425042,r,m,r,m,b,b,m,m,m,b,m,r,b,r
20146568,b,b,m,b,r,r,m,r,m,m,m,m,b,b
47713736,b,r,m,r,r,r,r,b,r,m,r,r,b,b
46313668,b,r,b,m,m,b,m,m,m,m,m,r,r,b
32139588,b,m,m,r,b,r,r,m,b,r,b,b,r,r
23216336,r,b,m,r,r,r,m,r,b,r,r,m,r,m
37900996,b,m,m,r,b,m,m,b,m,b,b,m,m,b
47078243,r,r,m,r,m,m,m,b,m,r,m,b,b,r
48554117,b,r,b,m,b,r,r,b,b,m,b,r,r,m
30249403,r,m,m,r,r,r,m,b,r,m,r,m,m,r
45251535,b,m,r,r,r,r,b,r,m,b,m,r,m,b
40006765,b,b,b,r,r,r,r,r,b,r,b,m,r,b
20315168,b,m,r,b,m,m,b,r,b,b,r,b,r,m
31901266,r,b,m,r,m,r,b,r,m,m,r,m,r,r
36702729,m,b,b,b,r,r,b,m,m,b,m,b,r,m
42113543,r,b,r,m,m,b,r,r,b,b,b,m,b,b
48085244,r,r,m,b,r,m,m,r,b,r,b,b,b,r
48666377,b,r,m,b,m,r,r,b,m,m,b,r,b,b
40381970,b,b,m,b,m,b,m,r,b,b,r,m,b,r
37529241,m,r,m,m,b,m,r,r,m,m,b,r,r,r
24652773,m,m,r,b,m,r,b,b,b,m,r,r,m,r
29541327,r,m,b,r,b,m,b,b,b,r,b,m,m,r
39754350,r,r,b,r,b,m,r,b,m,b,b,r,m,b
30643131,r,r,m,b,r,b,b,b,b,r,b,b,m,r
34177983,b,m,r,m,b,m,r,m,r,b,b,b,b,b
25633923,m,r,b,b,r,r,b,m,r,m,m,r,b,r
20915291,b,r,m,m,m,r,r,b,r,r,r,m,m,m
23445290,r,b,m,b,b,b,m,b,b,b,r,r,m,m
32820448,m,b,m,m,r,r,r,r,m,r,r,r,b,m
31678246,m,m,b,r,m,r,m,m,m,r,m,m,m,m
31849300,r,m,m,b,b,r,r,b,r,b,r,r,b,m
34188586,b,b,m,b,b,b,b,m,m,b,b,m,r,b
32836318,b,b,m,m,b,m,b,r,b,m,m,r,r,m
49827313,b,b,m,r,b,b,r,m,m,b,m,b,m,b
41097283,b,m,r,m,b,r,m,r,b,m,r,m,m,r
30472536,b,m,r,m,m,b,m,b,b,r,m,b,b,r
20352673,r,m,m,b,m,m,b,m,r,m,b,b,r,b
30155145,b,m,m,b,b,r,r,b,b,r,b,m,r,r
