DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4
49220319,b,m,b,b
26206951,m,b,b,r
22956761,m,r,m,m
39364578,b,m,m,r
21636864,b,m,r,m
34084656,m,m,m,m
44037141,m,m,m,r
21608032,r,r,m,b
41436051,b,b,b,b
31524063,r,r,r,m
36068721,m,m,r,m
25546689,b,m,r,m
29684710,m,b,r,m
46052221,r,r,r,b
39089143,b,m,r,r
35604742,m,m,m,m
26047552,b,b,m,m
46118949,m,r,m,r
48842700,r,m,m,m
47234124,m,b,m,b
32724513,m,m,b,b
45634322,r,r,b,b
31364255,r,m,b,r
33628717,r,r,b,m
23885914,r,r,m,m
38251991,b,m,m,b
34886516,b,r,b,r
29495308,b,m,m,m
38389169,m,m,m,b
24134290,m,r,b,r
22967733,m,m,r,r
20870662,m,r,m,r
32303426,b,r,r,b
22889346,b,r,b,b
30501200,b,b,r,b
23394225,b,b,r,r
35217455,b,b,b,r
37664606,b,m,m,b
49446604,b,m,m,r
21598129,r,b,b,r
29642943,b,r,b,b
34774631,r,r,r,r
33093313,r,m,b,b
21254965,m,b,r,b
32318449,m,m,b,r
36570658,r,m,r,m
38415649,b,b,r,b
22220016,r,r,r,b
27086148,b,r,b,m
33741977,m,r,r,m
40946003,m,b,r,b
37860493,m,m,m,r
44920336,r,b,m,m
43641336,b,m,b,m
44511759,m,b,m,b
49874869,m,m,m,b
27435532,m,m,b,b
25685340,r,m,b,r
36868608,r,b,m,m
45888314,b,m,m,b
38438609,r,m,m,m
48559272,m,m,r,b
41027501,m,b,m,m
29720947,b,r,r,b
31932897,r,b,b,r
41221044,b,b,r,r
43119182,b,r,r,b
48518591,r,m,m,b
40030356,b,b,m,r
37260850,r,r,m,b
40560158,b,r,m,m
31156967,b,r,r,m
30638056,b,b,m,b
45842048,m,b,b,r
34535743,r,b,m,b
25758234,r,r,b,m
28514666,b,m,r,r
38362603,m,r,m,r
27923614,b,m,b,r
35288529,b,r,b,r
28569044,m,m,r,m
25259432,m,m,m,b
33303019,m,r,m,r
21469971,b,r,r,b
37499995,m,b,b,r
24837924,m,r,b,r
49423669,r,m,r,m
30845194,m,b,m,b
27816558,b,m,r,r
27210540,b,b,m,m
35465532,r,b,b,b
25395532,m,b,m,m
37950461,m,r,m,r
