DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4,nota-ej-5,nota-ej-6,nota-ej-7,nota-ej-8,nota-ej-9,nota-ej-10,nota-ej-11,nota-ej-12,nota-ej-13
32960612,m,m,r,b,b,m,m,m,m,m,b,m,m
21354090,m,b,r,m,r,r,r,b,m,m,b,m,m
49220319,b,r,m,b,r,b,m,b,m,r,b,r,b
31614463,r,b,r,r,m,r,b,r,r,r,r,r,m
36868608,m,b,b,r,m,m,r,b,m,b,r,r,b
29911910,r,m,m,r,m,m,b,m,m,m,m,r,m
32724513,m,m,r,r,m,m,b,b,b,b,r,r,r
37860493,b,r,m,b,b,r,m,b,r,r,r,b,r
33303019,r,b,r,b,m,r,m,b,r,r,b,r,r
39116245,m,r,m,r,r,r,m,m,b,b,b,b,m
37795657,r,r,m,r,m,r,b,b,b,r,r,b,m
45907442,b,r,r,m,r,r,r,m,m,r,r,r,b
40192936,m,b,m,b,b,b,b,m,r,m,r,m,b
26462065,m,r,b,r,r,b,r,r,m,r,m,m,r
31932897,m,b,r,b,r,b,r,r,m,m,b,b,b
43119182,b,m,m,r,m,b,b,r,m,b,r,b,m
39552156,m,r,b,b,m,r,r,r,r,m,r,b,m
38362603,b,r,m,r,m,m,b,m,b,r,r,m,r
42193790,m,r,b,r,b,m,b,m,m,b,r,m,b
35688823,b,r,r,m,m,m,m,m,b,m,m,r,m
20699736,r,r,r,m,b,b,b,r,b,r,m,m,m
22889346,m,r,b,b,m,b,m,m,m,m,b,b,b
20288917,b,r,m,m,m,m,r,r,m,b,m,r,b
45129594,b,b,m,r,b,m,b,r,m,b,b,m,m
34145379,r,b,r,r,b,m,r,r,b,b,b,r,b
24837924,m,m,m,m,r,b,r,m,b,b,r,r,m
42967618,m,m,b,m,b,m,r,b,b,b,m,r,b
33093313,b,m,b,r,r,b,r,r,b,m,m,b,m
49423669,b,r,b,r,r,m,m,b,b,m,b,b,r
44920336,m,r,b,r,m,b,m,b,b,b,m,b,b
41221044,m,b,r,b,m,r,m,r,b,r,b,r,b
36068721,r,b,m,b,r,r,r,r,b,r,m,r,b
22582153,m,b,m,m,r,b,r,r,r,r,b,r,b
38115562,r,r,m,b,m,m,r,b,b,b,m,m,m
35288529,b,m,m,r,m,m,r,m,r,b,m,b,b
22956761,m,b,m,r,m,r,b,r,m,m,m,r,m
30265560,b,b,b,m,b,b,m,m,r,m,r,m,b
23907683,m,r,m,b,b,m,b,m,r,r,r,b,b
27923614,r,r,b,m,b,r,r,m,b,m,r,r,r
23152083,b,b,r,m,m,r,m,m,m,r,m,r,m
21608032,r,r,b,b,r,b,m,r,r,m,b,r,r
26206951,r,r,m,r,m,r,r,r,r,r,b,r,b
23885914,r,m,m,b,m,m,m,m,b,m,b,m,m
43641336,b,m,b,b,m,m,b,b,b,m,b,r,r
23394225,b,b,b,r,b,r,r,b,b,m,b,b,b
28514666,r,r,m,r,m,b,r,b,m,m,m,b,m
32420891,r,r,b,b,r,m,r,m,b,r,b,r,b
31311646,b,m,r,m,b,b,r,r,m,b,m,b,b
31364255,b,m,b,b,m,m,b,m,m,r,r,r,m
29642943,b,b,r,m,r,m,m,m,m,m,m,r,b
43360187,m,r,b,m,b,m,b,m,b,m,r,r,b
24364931,r,b,m,r,m,m,b,r,r,m,b,m,m
29298372,r,r,m,b,b,b,b,m,m,r,m,m,r
31524063,m,r,r,b,r,r,m,m,r,b,b,m,r
46304327,m,m,r,m,m,r,m,b,b,m,r,m,m
38389169,r,b,m,r,b,b,r,m,m,m,b,m,b
46454866,m,r,b,r,r,b,b,m,m,r,m,b,b
45842048,r,b,m,b,b,m,b,m,r,m,m,b,b
27435532,r,m,r,r,b,m,b,b,m,r,r,b,m
26039728,r,m,r,b,r,m,r,b,m,b,b,b,m
44037141,m,b,b,r,b,m,m,r,r,b,m,r,r
33741977,m,m,m,r,m,b,m,m,m,m,r,b,r
44706700,r,r,r,r,b,m,b,r,b,b,m,b,b
37260850,r,m,r,b,m,r,m,r,b,r,b,r,r
34084656,b,r,r,m,m,b,r,m,b,m,r,m,m
34886516,b,b,m,m,m,b,b,r,b,r,m,m,m
28974861,b,m,r,r,b,b,m,r,m,b,b,m,b
