DNI-Alumno,nota-ej-1
31156967,r
26545719,m
30845194,m
27923614,r
22956761,m
46052221,m
36445219,b
33332030,b
23064759,m
27379534,r
32303426,m
28974861,r
31364255,r
35217455,b
25546689,m
41765809,b
21598129,m
22220016,m
46118949,b
34241447,m
24134290,b
30638056,m
25685340,r
37125793,m
32724513,b
25724856,m
41380312,m
27816558,b
26206951,b
31932897,b
32420891,r
33741977,b
40445463,b
45129594,b
26567973,r
39448030,r
43761524,r
34011580,m
22480612,r
25756154,r
49423669,m
40946003,m
33628717,b
29298372,r
34084656,m
29684710,b
27086148,m
25259432,r
44511759,b
26462065,b
27719693,r
49833971,b
27435532,r
39884038,m
25461203,m
22422682,m
29495308,r
37950461,r
31614463,m
29642943,m
