DNI-Alumnonota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4
42942917,r,r,m,m
48666377,r,b,b,b
23445290,m,b,b,m
47008373,r,r,r,m
39228171,r,m,m,b
44102549,r,r,b,b
44209605,m,m,r,b
48619472,r,m,b,r
47168130,m,r,r,r
26913109,b,m,m,b
21012480,m,b,r,b
47893885,r,b,m,b
22957702,b,b,b,b
36690138,m,r,b,b
33363621,m,b,m,b
40500070,r,b,b,r
32061561,m,m,b,m
24243344,m,m,r,r
20663455,b,r,b,r
46431895,r,r,r,r
48770042,r,m,r,b
21768223,r,m,m,r
26623365,b,b,r,r
22411958,r,m,r,r
20352673,b,m,m,b
45983623,r,r,r,m
48085244,r,m,b,b
21356056,m,r,m,m
37135645,m,m,b,r
33679285,r,m,b,r
45906202,r,r,m,b
36798230,b,b,m,m
36709522,r,m,m,b
43721246,b,b,r,b
36455899,m,r,m,r
25602574,b,b,m,r
35218247,m,b,r,m
31678246,m,b,m,m
26674324,r,r,r,m
45190423,r,m,m,m
45408246,m,b,r,r
26021368,m,m,r,b
49054990,b,m,b,b
33306485,b,m,b,b
44696730,m,m,b,r
20915291,b,b,m,b
36727476,m,r,m,m
20443267,m,m,m,m
47713736,r,m,m,b
42113543,m,r,b,m
32453906,b,m,m,m
24479711,r,b,b,m
32139588,m,r,r,r
32836318,b,r,r,b
31340387,m,r,m,r
48879615,b,r,m,b
34188586,m,b,r,r
32287821,m,m,m,m
32673743,m,b,m,r
21688695,m,r,m,r
49783372,b,m,m,b
42281063,m,m,m,m
41097283,r,b,m,r
20797469,m,m,b,m
22595735,r,r,b,b
30407616,m,r,b,m
25838289,b,m,r,m
42650533,r,r,r,m
47592771,r,b,r,m
45811274,m,r,m,r
42902276,b,r,r,m
25647205,m,b,m,b
21512872,m,b,b,r
