DNI-alumno, nota1, nota2, nota3
46496260,m,b,b
25089206,m,b,b
44925839,m,r,r
43067154,r,b,b
44583374,m,m,m
39765439,b,r,r
23707176,b,r,b
33755965,r,m,b
48148609,b,m,b
26298026,m,m,r
36663667,m,r,r
40480231,r,b,m
27464496,m,b,r
37360496,m,r,r
45502329,b,b,r
37066499,b,r,b
42625968,b,r,m
20116587,m,r,r
29272984,m,r,m
33988922,r,r,r
48813451,b,r,r
45794717,r,m,b
25560385,r,r,m
24941950,r,m,b
38860052,r,m,r
20894621,r,m,b
44024252,r,b,m
48102498,b,b,m
42885710,r,m,b
44925273,b,b,r
29943247,r,b,r
21388442,r,r,r
37000913,m,m,b
25211310,r,b,r
39571572,m,b,m
40235702,b,b,b
37133422,m,m,r
49749394,m,r,b
20665775,m,b,b
29777634,r,b,b
44565420,m,r,m
21694586,b,m,m
24479942,b,b,b
32636159,r,r,b
35123062,r,r,r
33190878,b,r,m
37349335,m,b,r
44114418,m,r,b
39936739,b,b,r
27011188,b,m,r
40470673,b,b,b
20156192,b,r,m
49149659,r,b,r
34250933,r,b,r
42706805,r,b,m
34851361,b,r,b
38654975,m,m,r
48472660,r,b,b
43787050,r,m,b
32495850,r,b,m
32961792,m,r,m
41895818,m,r,b
44414997,m,b,r
27089928,r,b,r
38686516,r,r,b
48091871,m,b,m
32006863,m,b,r
39533436,m,m,b
31391033,m,b,m
38254211,m,m,r
22434878,b,b,m
43224380,r,m,r
30602487,r,b,r
48656546,r,b,r
48924043,b,b,r
41311235,r,m,m
27532021,b,m,r
23352884,b,m,r
40117140,b,b,b
45965356,m,r,m
41223518,m,r,b
36078683,b,m,m
42777420,m,m,b
39844120,r,m,r
30077861,m,m,b
