DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4,nota-ej-5,nota-ej-6,nota-ej-7,nota-ej-8,nota-ej-9,nota-ej-10,nota-ej-11,nota-ej-12,nota-ej-13
23975968,b,b,b,m,b,b,r,m,m,b,m,r,b
20699736,b,r,b,b,b,r,b,m,r,b,r,b,m
33741977,b,m,m,b,r,m,b,m,b,b,m,b,m
21608032,b,m,r,b,m,r,m,r,r,m,r,m,m
23984891,m,b,b,m,m,m,r,m,b,b,r,m,m
29684710,b,r,b,r,r,b,m,r,r,r,r,b,b
39116245,r,r,m,m,r,r,m,b,b,r,r,b,r
22480612,m,r,m,m,b,r,b,r,m,b,r,m,r
32206133,m,b,r,r,m,r,b,r,r,m,b,b,m
43641336,r,b,r,m,m,r,b,b,b,r,m,r,r
27435532,m,b,m,m,m,r,b,r,r,b,r,b,r
44706700,r,b,m,r,b,r,b,b,m,r,m,m,r
43119182,r,r,b,m,r,m,m,m,r,m,m,r,b
22582153,b,r,r,m,m,m,b,m,r,m,r,r,m
22967733,b,r,m,m,m,b,r,r,m,m,m,m,m
45842048,m,b,m,r,b,r,m,b,b,b,b,r,m
23379060,b,b,b,m,m,m,r,b,m,r,b,b,b
30853285,r,b,m,r,b,b,r,r,b,r,m,r,m
34241447,r,m,m,b,m,b,m,m,m,m,b,b,r
45634322,b,r,m,m,b,r,b,m,m,b,m,b,m
24705290,r,m,r,m,r,r,b,b,r,r,b,r,m
29809287,r,m,r,m,r,r,m,b,r,r,b,r,r
22257215,m,m,r,b,m,r,b,r,r,r,b,m,b
38251991,r,m,b,b,r,b,r,b,r,b,m,m,r
34145379,r,m,r,b,b,m,m,m,b,b,r,b,b
25954517,m,m,m,b,b,m,m,r,b,b,r,r,m
46118949,r,b,r,b,b,b,r,m,r,b,r,r,b
23575798,m,r,b,m,b,b,r,b,m,m,m,m,b
