DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4,nota-ej-5
27379534,b,m,r,b,m
34530675,r,m,b,r,m
27923614,m,r,b,b,r
37795657,m,b,b,r,r
44037141,b,m,m,r,b
23379060,r,m,r,r,m
48842700,r,m,b,b,m
25288728,m,m,r,b,b
25546689,m,b,b,r,m
27086148,m,r,b,m,b
48559272,b,r,m,m,r
28514666,b,m,r,r,b
21598129,b,m,b,b,r
23575798,r,r,m,r,b
30265560,m,m,b,r,m
46454866,m,r,r,b,r
43360187,b,m,m,m,m
49446604,r,b,b,m,b
41373820,r,b,m,b,b
22582153,m,b,b,m,b
42193790,r,b,m,b,b
38389169,r,r,m,r,b
45129594,r,m,r,b,m
28974861,b,m,r,r,b
30853285,m,r,b,r,r
26712351,b,b,r,m,b
42932669,r,m,r,b,m
23975968,r,r,r,b,m
29202433,m,r,r,r,m
35217455,b,r,m,r,m
34774631,m,b,m,b,m
22899415,m,b,r,m,m
43641336,m,m,m,b,m
37860493,r,m,r,m,b
29495308,b,b,r,r,m
40560158,m,b,b,r,m
22088502,m,m,r,r,b
38415649,r,r,r,r,r
22967733,m,m,r,b,m
34011580,b,r,b,m,r
35288529,m,m,b,r,b
36068721,r,m,r,m,r
30128318,r,r,r,m,r
33303019,r,r,m,b,m
21354090,b,r,m,r,b
41027501,r,b,b,r,r
25395532,m,m,b,r,b
49111875,b,b,r,r,r
37950461,m,m,m,b,m
41221044,m,b,b,m,r
25954517,r,b,b,b,r
24364931,b,r,b,m,m
27719693,r,r,r,b,m
22220016,r,m,b,r,b
38115562,b,m,m,r,m
32303426,r,m,m,b,m
32338402,b,m,m,b,m
20699736,r,b,r,m,r
27816558,r,m,m,m,b
45907442,m,r,r,r,b
49874869,m,b,r,b,r
24134290,m,r,r,b,m
31614463,b,b,m,r,b
27099779,b,m,b,m,r
37664606,b,b,m,r,r
26039728,r,b,b,r,m
23064759,m,b,b,b,r
34535743,m,b,r,r,m
30127562,b,r,b,b,b
22422682,r,m,m,b,r
35688823,m,b,m,r,b
47234124,m,m,b,r,m
34241447,r,b,b,m,b
24705290,r,b,r,r,b
22257215,b,r,r,b,m
39089143,r,b,r,b,m
29684710,b,r,r,m,b
23984891,b,m,m,b,r
39116245,m,b,m,r,m
32724513,b,r,b,r,b
30845194,b,m,m,r,m
43761524,b,m,b,b,b
