DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3,nota-ej-4
21608032,r,r,m,b
28974861,b,b,r,b
30501200,r,b,r,b
34084656,b,r,b,m
38415649,b,m,b,r
22220016,r,r,b,m
32318449,b,m,b,m
20870662,m,r,b,m
26039728,r,b,r,b
48559272,m,m,b,b
44125949,b,m,r,r
45634322,b,m,b,b
26545719,m,b,b,b
25546689,b,r,r,r
21254965,r,r,b,r
23575798,r,b,b,r
41221044,b,b,b,b
38115562,r,m,b,r
33093313,m,b,m,b
29720947,r,b,m,r
27379534,m,m,m,r
31614463,b,m,b,r
39448030,b,b,b,m
49220319,b,m,b,r
23064759,b,b,r,m
33332030,m,r,m,r
32960612,b,m,m,m
43761524,m,m,m,b
24705290,b,m,m,b
39884038,m,b,b,m
39364578,m,r,r,m
22967733,m,r,r,m
30127562,m,r,r,r
22899415,m,r,r,r
40209738,m,r,r,r
20992291,r,m,r,b
24837924,m,b,b,b
28569044,b,b,b,m
39089143,m,m,m,b
43119182,m,m,b,m
27719693,r,r,b,r
44511759,r,b,b,r
34774631,m,r,r,r
24134290,b,m,m,b
27099779,b,b,b,b
25685340,r,r,m,b
38362603,r,m,r,r
28514666,b,b,m,m
45907442,r,b,b,r
26462065,m,b,r,b
37860493,m,b,b,b
37950461,m,r,r,m
31250238,b,m,b,b
23394225,b,r,r,b
47234124,b,m,b,m
42967618,m,m,b,m
26712351,r,r,r,b
30265560,b,b,m,b
23907683,m,m,b,r
34535743,m,m,m,m
25696663,b,m,m,b
33628717,m,m,b,m
45842048,m,b,b,b
46118949,m,b,m,r
22422682,m,m,b,m
32724513,b,b,m,m
29495308,r,r,b,m
