DNI-Alumno,nota-ej-1,nota-ej-2,nota-ej-3
27923614,r,r,b
22899415,m,r,m
23975968,m,m,b
26567973,m,r,b
26039728,b,b,r
37664606,b,m,b
22956761,r,r,m
32206133,m,r,b
31364255,r,b,b
38389169,b,m,r
34535743,m,r,b
27210540,b,m,m
44304845,m,r,m
27086148,b,r,m
40030356,b,r,r
28974861,b,b,b
38115562,b,m,m
41436051,b,m,m
30853285,m,m,b
20992291,b,r,r
25756154,b,m,b
23394225,b,r,b
34011580,b,r,r
24837924,b,r,m
40946003,b,r,r
39448030,b,m,b
29684710,b,m,b
33741977,b,r,b
42255397,m,r,r
23907683,m,r,r
31250238,m,m,b
23885914,b,r,r
48518591,b,r,r
26462065,b,r,b
45129594,m,m,m
49446604,r,m,m
24134290,b,b,r
45862559,b,r,m
45888314,m,r,b
35217455,m,r,m
40560158,m,b,r
49753306,m,r,r
46046431,m,r,b
37950461,m,r,r
38251991,r,r,r
45842048,m,r,r
25685340,r,b,m
25724856,m,m,m
41380312,m,b,r
37499995,m,b,r
40445463,m,b,m
23515060,m,m,r
21339310,r,m,b
31614463,m,b,r
26753073,m,b,r
26712351,m,b,b
23575798,b,b,m
